tmdb_id,title,release_date,budget,runtime,genres,popularity,vote_average,vote_count,production_companies,directors,cast,imdb_id,mpaa_rating,collection_id,lead_actor_1_name,lead_actor_1_id,lead_actor_1_character,lead_actor_2_name,lead_actor_2_id,lead_actor_2_character,opening_weekend_domestic
1064028,Subservience,15/8/24,4400000,105,"['Science Fiction', 'Horror', 'Thriller']",8.4521,6.626,906,"['Millennium Media', 'Campbell Grobman Films', 'XYZ Films']",['SK Dale'],"['Megan Fox', 'Michele Morrone', 'Madeline Zima', 'Matilda Firth', 'Andrew Whipp']",tt24871974,R,,Megan Fox,19537,Alice,Michele Morrone,2349355,Nick,28135
1035048,Elevation,7/11/24,18000000,91,"['Action', 'Science Fiction', 'Thriller']",7.9553,6.459,841,"['Lyrical Media', 'Grinder Monkey', 'John Glenn Entertainment', 'Story Ink']",['George Nolfi'],"['Anthony Mackie', 'Morena Baccarin', 'Maddie Hasson', 'Danny Boyd Jr.', 'Rachel Nicks']",tt23558280,R,,Anthony Mackie,53650,Will,Morena Baccarin,54882,Nina,1216578
1106739,Juror #2,30/10/24,30000000,114,"['Drama', 'Thriller']",7.8921,6.876,2239,"['Warner Bros. Pictures', 'Malpaso Productions', 'Dichotomy Films']",['Clint Eastwood'],"['Nicholas Hoult', 'Toni Collette', 'J.K. Simmons', 'Chris Messina', 'Gabriel Basso']",tt27403986,,,Nicholas Hoult,3292,Justin Kemp,Toni Collette,3051,Faith Killebrew,2969773
917496,Beetlejuice Beetlejuice,4/9/24,99000000,105,"['Comedy', 'Fantasy', 'Horror']",14.2843,6.959,2881,"['Warner Bros. Pictures', 'Geffen Pictures', 'Plan B Entertainment', 'Tim Burton Productions', 'Tommy Harper Productions', 'Domain Entertainment']",['Tim Burton'],"['Michael Keaton', 'Winona Ryder', ""Catherine O'Hara"", 'Jenna Ortega', 'Justin Theroux']",tt2049403,PG-13,945475,Michael Keaton,2232,Beetlejuice,Winona Ryder,1920,Lydia,111003345
969492,Land of Bad,9/2/24,18000000,113,"['Action', 'War', 'Thriller']",9.0044,7.278,1383,"['Broken Open Pictures', 'Volition Media Partners', 'Highland Film Group', 'Hoodlum Entertainment', 'R.U. Robot Studios', 'Moonbow', 'Gosdom Entertainment', 'Short Porch Pictures', 'The Avenue Entertainment']",['William Eubank'],"['Liam Hemsworth', 'Russell Crowe', 'Luke Hemsworth', 'Ricky Whittle', 'Milo Ventimiglia']",tt19864802,R,,Liam Hemsworth,96066,Kinney,Russell Crowe,934,Reaper,1840510
365177,Borderlands,7/8/24,115000000,101,"['Action', 'Science Fiction', 'Comedy']",10.4785,5.62,1351,"['Lionsgate', 'Arad Productions', 'Picturestart', 'Gearbox Studios', '2K', 'Hercules Film Fund']",['Eli Roth'],"['Cate Blanchett', 'Kevin Hart', 'Edgar Ramírez', 'Jamie Lee Curtis', 'Ariana Greenblatt']",tt4978420,PG-13,,Cate Blanchett,112,Lilith,Kevin Hart,55638,Roland,8601572
956842,Fly Me to the Moon,10/7/24,100000000,132,"['Romance', 'Comedy']",6.7052,6.81,1042,"['These Pictures', 'Berlanti Productions', 'Apple Studios']",['Greg Berlanti'],"['Scarlett Johansson', 'Channing Tatum', 'Woody Harrelson', 'Ray Romano', 'Jim Rash']",tt1896747,PG-13,,Scarlett Johansson,1245,Kelly Jones,Channing Tatum,38673,Cole Davis,9402176
974576,Conclave,25/10/24,20000000,120,"['Drama', 'Thriller']",7.3991,7.2,3053,"['FilmNation Entertainment', 'Indian Paintbrush', 'House Productions']",['Edward Berger'],"['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Isabella Rossellini', 'Lucian Msamati']",tt20215234,,,Ralph Fiennes,5469,Lawrence,Stanley Tucci,2283,Bellini,6601995
718821,Twisters,10/7/24,155000000,123,"['Action', 'Thriller']",10.0808,6.798,2726,"['Universal Pictures', 'Warner Bros. Pictures', 'Amblin Entertainment', 'Domain Entertainment']",['Lee Isaac Chung'],"['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney']",tt12584954,PG-13,1062948,Daisy Edgar-Jones,2230991,Kate,Glen Powell,83271,Tyler,81251415
937287,Challengers,18/4/24,55000000,132,"['Drama', 'Romance']",7.7485,6.9,2460,"['Pascal Pictures', 'Why Are You Acting? Productions', 'Frenesy Film', 'Amazon MGM Studios']",['Luca Guadagnino'],"['Zendaya', 'Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo']",tt16426418,R,,Zendaya,505710,Tashi Donaldson,Mike Faist,1423520,Art Donaldson,15011061
