tmdb_id,title,release_date,budget_adj,opening_weekend_domestic_adj,director_power,director_momentum,cast_power,cast_momentum,studio_power,studio_momentum,in_series,prev_opening_adj,season_dump,season_holiday,season_shoulder,season_summer,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,rating_G,rating_NC-17,rating_NR,rating_PG,rating_PG-13,rating_R,rating_Unrated,runtime_scaled
51409,The Tree,2010-03-03,16.40253484555369,8.903722924628598,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1903856738729338
32823,Get Him to the Greek,2010-03-06,17.894189664017606,17.071557486248707,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3427424836045735
44629,Animal Kingdom,2010-03-06,15.814748240846455,11.424183964805142,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5796883313723545
27584,High School,2010-03-06,16.507895353687154,11.714377549612175,0.0,0.0,7.507067741685966,7.507067741685966,0.0,0.0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.249622135814879
38579,Marmaduke,2010-03-06,18.11733321194585,16.65628612490158,0.0,0.0,0.0,0.0,16.84511079466487,16.84511079466487,0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.901223217176277
39210,Somewhere,2010-03-09,16.284751819302755,12.077406521732742,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3680950596987696
89704,Happy People: A Year in the Taiga,2010-03-09,14.86595281949974,9.64718361753672,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5458044455246054
41733,Due Date,2010-03-11,18.37969747328784,17.692361263566447,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4865679835826601
59490,Cave of Forgotten Dreams,2010-03-11,14.86595281949974,12.232760070307425,9.64718361753672,9.64718361753672,9.136401064356397,9.136401064356397,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.7827502932923864
50037,Beyond the Black Rainbow,2010-03-12,14.300620988407578,8.898492237083818,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4019789455465188
